Date,Market
2002-07-03,70.572708
2002-07-05,73.380554
2002-07-08,72.464317
2002-07-09,70.639229
2002-07-10,68.067833
2002-07-11,68.621994
2002-07-12,67.868317
2002-07-15,68.230377
2002-07-16,66.915146
2002-07-17,67.048126
2002-07-18,64.875771
2002-07-19,62.592541
2002-07-22,60.737881
2002-07-23,59.075363
2002-07-24,62.59996
2002-07-25,62.067932
2002-07-26,63.250141
2002-07-29,66.331413
2002-07-30,67.19593
2002-07-31,67.358482
2002-08-01,65.599876
2002-08-02,64.129463
2002-08-05,61.897972
2002-08-06,63.981701
2002-08-07,65.097412
2002-08-08,67.203308
2002-08-09,67.454544
2002-08-12,66.959488
2002-08-13,65.74028
2002-08-14,68.141693
2002-08-15,69.087494
2002-08-16,68.880615
2002-08-19,70.491409
2002-08-20,69.745132
2002-08-21,70.750084
2002-08-22,71.437225
2002-08-23,69.900314
2002-08-26,70.387978
2002-08-27,69.57518
2002-08-28,68.053055
2002-08-29,68.082634
2002-08-30,67.81662
2002-09-03,65.230423
2002-09-04,66.161438
2002-09-05,65.599876
2002-09-06,66.501358
2002-09-09,66.989029
2002-09-10,67.757454
2002-09-11,67.336327
2002-09-12,66.094955
2002-09-13,66.257484
2002-09-16,66.420097
2002-09-17,64.897934
2002-09-18,64.247681
2002-09-19,62.585152
2002-09-20,62.605927
2002-09-23,62.093838
2002-09-24,61.091824
2002-09-25,62.605927
2002-09-26,63.630215
2002-09-27,61.4184
2002-09-30,60.705841
2002-10-01,63.622776
2002-10-02,61.715267
2002-10-03,61.091824
2002-10-04,59.971066
2002-10-07,58.731579
2002-10-08,59.65192
2002-10-09,57.967102
2002-10-10,59.844894
2002-10-11,62.464928
2002-10-14,62.813755
2002-10-15,65.834579
2002-10-16,64.238808
2002-10-17,65.515404
2002-10-18,65.79007
2002-10-21,66.925644
2002-10-22,66.443192
2002-10-23,66.947906
2002-10-24,65.582237
2002-10-25,66.947906
2002-10-28,66.510033
2002-10-29,65.738091
2002-10-30,66.376404
2002-10-31,65.700974
2002-11-01,66.999832
2002-11-04,67.638191
2002-11-05,68.172546
2002-11-06,69.055817
2002-11-07,67.363556
2002-11-08,66.539658
2002-11-11,65.508003
2002-11-12,66.027588
2002-11-13,66.094353
2002-11-14,67.34127
2002-11-15,67.838577
2002-11-18,67.155716
2002-11-19,67.066666
2002-11-20,68.558517
2002-11-21,69.835136
2002-11-22,69.337814
2002-11-25,69.382401
2002-11-26,68.061249
2002-11-27,69.976151
2002-11-29,69.753487
2002-12-02,69.864838
2002-12-03,68.929611
2002-12-04,68.61792
2002-12-05,67.860855
2002-12-06,68.306129
2002-12-09,66.428375
2002-12-10,67.319016
2002-12-11,67.37841
2002-12-12,67.370987
2002-12-13,66.309586
2002-12-16,68.024109
2002-12-17,67.430359
2002-12-18,66.651001
2002-12-19,66.17601
2002-12-20,67.120277
2002-12-23,67.142639
2002-12-24,66.642921
2002-12-26,66.672752
2002-12-27,65.173553
2002-12-30,65.718056
2002-12-31,65.807533
2003-01-02,67.925804
2003-01-03,68.134636
2003-01-06,69.33548
2003-01-07,69.163948
2003-01-08,68.164459
2003-01-09,69.223602
2003-01-10,69.410118
2003-01-13,69.387688
2003-01-14,69.611435
2003-01-15,68.917801
2003-01-16,68.634384
2003-01-17,67.619987
2003-01-21,66.568298
2003-01-22,65.762794
2003-01-23,66.165558
2003-01-24,64.427689
2003-01-27,63.547577
2003-01-28,64.017479
2003-01-29,64.502304
2003-01-30,62.97327
2003-01-31,64.189026
2003-02-03,64.315819
2003-02-04,63.681808
2003-02-05,63.28653
2003-02-06,62.988148
2003-02-07,62.219963
2003-02-10,62.659977
2003-02-11,62.227398
2003-02-12,61.235386
2003-02-13,61.421867
2003-02-14,62.764389
2003-02-18,63.868301
2003-02-19,63.53265
2003-02-20,62.898655
2003-02-21,63.53265
2003-02-24,62.503384
2003-02-25,63.003094
2003-02-26,62.085678
2003-02-27,62.906132
2003-02-28,63.323811
2003-03-03,62.719673
2003-03-04,61.720238
2003-03-05,62.242302
2003-03-06,61.720238
2003-03-07,62.145351
2003-03-10,60.653618
2003-03-11,60.056969
2003-03-12,60.459694
2003-03-13,62.548138
2003-03-14,62.749531
2003-03-17,64.726036
2003-03-18,65.106407
2003-03-19,65.60614
2003-03-20,65.747887
2003-03-21,67.151268
2003-03-24,64.919624
2003-03-25,65.541183
2003-03-26,65.211693
2003-03-27,65.264107
2003-03-28,64.934601
2003-03-31,63.459324
2003-04-01,64.432861
2003-04-02,65.990509
2003-04-03,65.675987
2003-04-04,66.065399
2003-04-07,65.938087
2003-04-08,66.042923
2003-04-09,65.174248
2003-04-10,65.533676
2003-04-11,65.264107
2003-04-14,66.612076
2003-04-15,67.23365
2003-04-16,66.087852
2003-04-17,67.068863
2003-04-21,67.136284
2003-04-22,68.401871
2003-04-23,69.030937
2003-04-24,68.416832
2003-04-25,67.570633
2003-04-28,68.738869
2003-04-29,68.9785
2003-04-30,68.828712
2003-05-01,68.821259
2003-05-02,69.802246
2003-05-05,69.667465
2003-05-06,70.3265
2003-05-07,69.937057
2003-05-08,69.233124
2003-05-09,70.191696
2003-05-12,71.052879
2003-05-13,70.925552
2003-05-14,70.775795
2003-05-15,71.225128
2003-05-16,71.045395
2003-05-19,69.382889
2003-05-20,69.240601
2003-05-21,69.382889
2003-05-22,70.071877
2003-05-23,70.214172
2003-05-27,71.442291
2003-05-28,71.644485
2003-05-29,71.457283
2003-05-30,72.603027
2003-06-02,72.902596
2003-06-03,73.202148
2003-06-04,74.258072
2003-06-05,74.625008
2003-06-06,74.332924
2003-06-09,73.576576
2003-06-10,74.325424
2003-06-11,75.111755
2003-06-12,75.343895
2003-06-13,74.557594
2003-06-16,76.130234
2003-06-17,76.130234
2003-06-18,76.062828
2003-06-19,74.902061
2003-06-20,74.736702
2003-06-23,73.970123
2003-06-24,74.045296
2003-06-25,73.301201
2003-06-26,74.255707
2003-06-27,73.398949
2003-06-30,73.376381
2003-07-01,74.05278
2003-07-02,74.984764
