Date,AMZN,PG,XOM,BRK_B,JNJ,BA,DWDP,AMT,AAPL,NEE,XL,PLD,HIG,WMT
2015-07-16,475.480011,75.954361,75.769165,143.919998,94.417068,138.000412,50.010357,93.476723,122.640938,97.135277,35.945213,36.517246,45.127541,68.887291
2015-07-17,483.01001,75.898979,75.49501,143.880005,93.455254,136.466949,48.995407,92.64534,123.700233,96.409752,35.776012,36.517246,44.707573,68.476753
2015-07-20,488.100006,75.852829,74.718208,144.509995,93.726067,136.355453,48.373028,92.750458,126.038368,95.944679,35.663212,36.655922,44.192162,68.206154
2015-07-21,488,75.336014,74.626823,143.600006,93.698021,134.756958,47.970879,92.64534,124.778625,94.995934,35.494015,37.266087,44.593025,67.870247
2015-07-22,488.269989,75.208549,74.745628,143.520004,93.548622,136.123093,47.87513,92.253555,119.501183,95.619125,35.522221,37.108921,44.297146,68.262161
2015-07-23,482.179993,75.087578,74.151596,142.179993,93.567291,135.788544,45.730328,93.648735,119.443916,94.940132,35.503418,36.905525,44.211246,67.655663
2015-07-24,529.419983,74.7061,73.054955,141.25,92.586807,133.883347,44.016399,92.492447,118.814072,95.135445,35.51281,36.85006,44.354416,66.78791
2015-07-27,531.409973,74.408356,72.433517,140.720001,91.774399,131.067413,43.690845,92.196228,117.163071,96.270226,35.606819,36.933266,43.581287,66.601303
2015-07-28,526.030029,74.650276,75.37619,143.220001,92.465401,131.792297,44.6675,92.387329,117.745224,96.819023,35.597412,37.312309,44.717113,67.273102
2015-07-29,529,75.013153,75.979355,142.919998,93.128418,133.957703,45.414349,92.043312,117.373024,97.284088,35.682018,37.571167,45.499779,67.394409
2015-07-30,536.76001,72.00779,75.86055,142.850006,93.231125,132.907532,45.404774,90.734146,116.781349,97.563141,36.095604,37.164387,45.814762,67.329117
2015-07-31,536.150024,71.365761,72.387833,142.740005,93.576645,133.98558,45.06007,90.887047,115.760208,97.851479,35.738415,37.543427,45.385239,67.16114
2015-08-03,535.030029,71.086647,71.336868,142.330002,93.399216,133.53949,44.485573,91.125938,113.030823,100.186165,35.898212,37.571167,46.03429,67.347755
2015-08-04,531.900024,70.630714,70.523521,142.679993,93.193787,133.400055,44.705795,91.852211,109.404373,99.097885,36.349407,37.395515,45.59523,67.413071
2015-08-05,537.01001,70.500443,70.523521,143.5,93.866119,135.569962,45.127098,92.349106,110.129669,98.558388,36.528008,37.423244,45.308891,69.05706
2015-08-06,529.460022,70.472527,71.364288,143.350006,92.5121,134.513077,44.619621,93.992744,110.369324,98.36306,36.5186,37.617386,45.518875,68.380676
2015-08-07,522.619995,70.230614,70.212814,143.550003,92.306664,133.203659,43.566368,95.225456,110.74321,99.525742,36.631405,37.682102,45.74794,66.93396
2015-08-10,524,71.068024,71.967445,143.419998,93.184433,136.421051,44.657921,96.028152,114.769531,99.088593,36.969803,37.654366,46.177467,67.150024
2015-08-11,527.460022,70.919167,71.478569,142.800003,92.45607,134.72818,43.365299,96.515533,108.797134,99.18158,37.317596,38.033409,45.662045,67.572762
2015-08-12,525.909973,71.077339,72.677704,141.600006,92.175926,133.213028,43.75787,95.531265,110.474777,100.827957,37.232998,38.070393,45.318428,68.183403
2015-08-13,529.659973,70.509766,72.548584,141.949997,91.961159,135.439011,43.058891,95.79882,110.388504,101.31163,37.327003,38.135098,46.59742,67.741852
2015-08-14,531.52002,70.360878,72.281067,142.570007,92.26931,135.700897,42.991867,96.591972,111.165001,101.423256,37.768795,38.227551,47.131931,67.995499
2015-08-17,535.219971,70.277145,72.659256,142.320007,93.259148,135.092941,43.537647,96.945557,112.315399,101.879021,37.909794,38.772999,46.921947,67.553986
2015-08-18,535.02002,69.904953,71.85675,141.360001,92.792236,135.242599,42.84824,96.028152,111.682663,101.860413,37.862785,39.059589,47.275105,65.271194
2015-08-19,532.919983,68.965202,70.316315,140.470001,92.736214,133.484268,42.254585,95.942177,110.254295,101.451149,37.336395,38.930161,46.960125,64.416298
2015-08-20,515.780029,68.769814,68.785088,138.389999,92.250633,128.153122,41.814137,94.460991,107.991882,100.688438,36.753597,38.467918,46.234722,64.28479
2015-08-21,494.470001,66.843765,66.534363,134.220001,89.917084,123.186745,40.808762,92.406441,101.386787,99.488548,35.870014,37.589657,44.612122,62.50927
2015-08-24,463.369995,64.331543,63.388908,129.570007,87.33889,118.959244,38.635227,87.857803,98.855957,95.842361,34.582226,35.204483,42.455017,60.07616
2015-08-25,466.369995,63.66161,63.379684,127.739998,85.372307,117.369255,37.716026,85.53569,99.450302,93.48909,34.441227,33.697563,42.655449,59.277657
2015-08-26,500.769989,65.969139,66.875671,132.610001,89.493652,120.970108,39.305481,87.465988,105.154282,95.288765,34.977024,34.696003,44.125343,60.902855
2015-08-27,518.369995,66.508804,69.043358,136.229996,90.538109,123.33638,41.747112,89.702103,108.250717,95.851173,35.888817,35.796154,44.869831,62.077148
2015-08-28,518.01001,66.257576,69.246292,135.740005,89.55011,124.617729,42.130116,89.300751,108.605408,95.438751,35.400021,35.953312,44.313751,61.006203
2015-08-31,512.890015,65.755135,69.403099,134.039993,88.430382,122.223389,41.900311,88.096703,108.097336,92.242447,35.052219,35.13052,44.054882,60.808914
2015-09-01,496.540009,64.108246,66.488251,130.410004,86.651985,119.193069,39.889557,86.0326,103.265732,89.374229,34.121632,34.150558,42.904373,59.954041
2015-09-02,510.549988,64.954964,67.549042,132.220001,87.837578,122.176628,40.588543,87.121986,107.694687,89.083656,34.86422,34.612804,43.700142,60.536484
2015-09-03,504.720001,65.066597,68.065598,132.149994,87.169518,122.541405,41.009838,86.978653,105.806152,89.205498,35.061619,34.954868,43.911072,60.931038
2015-09-04,499,63.97797,66.838776,129.639999,85.918045,121.36293,40.291706,85.067444,104.75164,88.689987,34.356621,33.910191,42.875618,60.019798
2015-09-08,517.539978,65.113136,67.798088,132.899994,88.392754,125.160225,42.216293,86.051712,107.665932,91.005173,34.948822,34.455647,44.00695,62.358955
2015-09-09,516.890015,63.717457,66.414459,130.589996,86.774315,124.06591,41.929039,84.761642,105.595253,89.327354,34.610428,33.74379,43.431694,61.175297
2015-09-10,522.23999,63.568569,66.894112,130.660004,87.244797,124.907684,41.900311,84.398529,107.915176,89.374229,34.601032,33.974907,43.920666,60.235874
